osm_id,desc,geometry
460574602,Barrier,"c(-3.1690859, -3.1691768, -3.1691696, -3.1683137, -3.16817875689595, 55.9672574, 55.9671281, 55.9671155, 55.9669689, 55.9669457422247)"
460574607,Barrier,"list(c(-3.162926893106, -3.1629290775951, 55.9633897615707, 55.9633934197667), c(-3.16396184361249, -3.1642514, -3.1643143, -3.1644848, -3.1649005, -3.1650271, -3.1652472, -3.1654383, -3.1656254, -3.1657629, -3.1658715, -3.16598, -3.1661411, -3.1662939, -3.1666037, -3.1670807, -3.1671744, -3.1672008, -3.1672864, -3.1678676, -3.16791238063757, 55.9636758431992, 55.9637044, 55.9637136, 55.9637487, 55.9638432, 55.9638758, 55.9639587, 55.9640234, 55.9640921, 55.9641514, 55.9642039, 55.9642563, 55.9643488, 
55.9644512, 55.9646779, 55.9650612, 55.9651365, 55.9651601, 55.9652076, 55.965732, 55.9657723558841), c(-3.16742863687331, -3.16743033770886, 55.9660246360665, 55.9661010563668), c(-3.1683269988751, -3.1683851, -3.1684251, -3.1691907, 55.9668345329689, 55.9668811, 55.9668908, 55.9670756))"
605947056,Barrier,"c(-3.19183183165167, -3.1917609, -3.1915774, -3.1915868, -3.1915802, 55.9675480072648, 55.9674953, 55.9673589, 55.9673544, 55.9673491)"
605947057,Barrier,"c(-3.1915224, -3.1917061, -3.1917783450528, 55.9673761, 55.9675093, 55.9675616963381)"
660544811,Barrier,"c(-3.19251764235204, -3.1923674, 55.96987858452, 55.9699526)"
686923187,Barrier,"c(-3.1698485, -3.1691294, -3.1689018, -3.1686578, -3.16823674938973, 55.9598689, 55.9598296, 55.9597955, 55.9598159, 55.959983497159)"
779257717,Barrier,"c(-3.1670938, -3.16709018643536, 55.9677637, 55.9677623740018)"
4086040,Transport infrastructure; Residential road,"c(-3.19175445494961, -3.1916629, 55.960003387476, 55.9600341)"
4422343,Transport infrastructure; Residential road,"c(-3.18328599463234, -3.1832743, 55.9593083967432, 55.9593043)"
4447872,Transport infrastructure; Residential road,"c(-3.1755821, -3.1756183, -3.1756309, -3.1756394, -3.1756516, -3.1756601, -3.1756708, -3.1756929, -3.1758642, -3.1760701, -3.1762937, -3.1765086, -3.1767154, -3.1769712, -3.1772337, -3.1774662, -3.1776765, -3.177841, -3.1780814, -3.1783184, -3.1785552, -3.1787723, -3.1789954, -3.1792381, -3.1794606, -3.179656, -3.17987, -3.1800467, -3.1802008, -3.1802601, -3.1803136, -3.1804726, -3.180493, -3.18051, -3.1805243, -3.1805364, -3.1805494, -3.1805589, -3.1805724, -3.1805825439833, 55.9576739, 55.9577598, 
55.9577896, 55.9578021, 55.957815, 55.9578238, 55.9578318, 55.9578436, 55.9579039, 55.9579652, 55.958015, 55.9580566, 55.958093, 55.9581288, 55.9581589, 55.9581803, 55.9581953, 55.9582055, 55.9582165, 55.9582233, 55.9582246, 55.9582198, 55.9582062, 55.9581836, 55.9581589, 55.9581323, 55.9581002, 55.9580698, 55.9580392, 55.9580253, 55.9580112, 55.957966, 55.9579593, 55.9579519, 55.9579437, 55.9579349, 55.9579221, 55.9579077, 55.9578658, 55.9578233676516)"
4628740,Transport infrastructure; Residential road,"c(-3.1830488, -3.1831148610309, 55.9594751, 55.9594980944125)"
4720563,Transport infrastructure; Residential road,"c(-3.1811097, -3.1810598, -3.1807818, -3.1805034, -3.1804783, -3.18046891194329, 55.9750503, 55.9750133, 55.9748076, 55.9746018, 55.9745832, 55.9745837917973)"
4831027,Transport infrastructure; Residential road,"c(-3.18128292315378, -3.1812739, 55.9750407211712, 55.9750252)"
4831029,Transport infrastructure; Residential road,"c(-3.18362854626624, -3.1836106, 55.9746954874128, 55.974678)"
4835677,Transport infrastructure; Residential road,"c(-3.1848688, -3.1849447, -3.1850743923239, 55.9604229, 55.9604086, 55.9603862222686)"
4835688,Transport infrastructure; Residential road,"c(-3.18238514744155, -3.1823857, -3.1823918, -3.1823801, -3.1823568, -3.1823104, -3.1814843, -3.1813198, 55.9579007171957, 55.9579246, 55.9580693, 55.958096, 55.9581233, 55.9581735, 55.959043, 55.9592513)"
4851514,Transport infrastructure; Residential road,"c(-3.1774232771719, -3.17740066743553, 55.9715267809485, 55.9715141670956)"
4936341,Transport infrastructure; Residential road,"c(-3.1688069, -3.1689298, -3.1697377, -3.1700737, -3.1706147, -3.1711009, -3.17114476120186, 55.9677422, 55.9677819, 55.9680432, 55.9681492, 55.9683329, 55.9684978, 55.9685126570314)"
5034599,Transport infrastructure; Residential road,"c(-3.18541198251944, -3.1853966, 55.9744329975025, 55.9744198)"
5406519,Transport infrastructure; Residential road,"c(-3.1696128, -3.1696191640148, 55.9573762, 55.9573529300527)"
5730834,Transport infrastructure; Residential road,"c(-3.1697377, -3.16972558296793, 55.9680432, 55.9680546272579)"
5730837,Transport infrastructure; Residential road,"c(-3.1711009, -3.17110036458352, 55.9684978, 55.9684983283357)"
5730910,Transport infrastructure; Residential road,"list(c(-3.17844977232156, -3.1784663, -3.17847994891298, 55.9726131208242, 55.9725995, 55.9725863328134), c(-3.1791600894176, -3.1791877, -3.1793181, -3.1796213, -3.1798101, -3.1799871, -3.1800333, 55.972000065162, 55.9719779, 55.971873, 55.9716188, 55.9714565, 55.9713043, 55.9712646))"
5730921,Transport infrastructure; Residential road,"c(-3.1784663, -3.1785169, -3.1787723, -3.1791041, -3.179158, -3.1792288, -3.1792576, -3.1792854, -3.1793052, -3.17931026849693, 55.9725995, 55.9726157, 55.972699, 55.9728069, 55.9728247, 55.9728503, 55.9728654, 55.9728866, 55.9729119, 55.9729265161307)"
5731781,Transport infrastructure; Residential road,"c(-3.1875209, -3.18754171495078, 55.974102, 55.97411953899)"
5731801,Transport infrastructure; Residential road,"c(-3.18597536713719, -3.1859558, 55.9743500773658, 55.9743328)"
23136669,Transport infrastructure; Residential road,"c(-3.16818694597276, -3.1676355, -3.1671808, 55.9681765350932, 55.967981, 55.9678198)"
29340088,Transport infrastructure; Residential road,"c(-3.19764105150142, -3.197623, 55.9624936478782, 55.9625038)"
35603711,Transport infrastructure; Residential road,"c(-3.17831134887203, -3.1784134, -3.1784523, -3.178498, -3.1785671, -3.1787927, 55.9717687819576, 55.97167, 55.9716509, 55.9716363, 55.9716253, 55.9716019)"
73012227,Transport infrastructure; Residential road,"c(-3.1643644, -3.16435641627329, 55.9630842, 55.9630747247644)"
73012909,Transport infrastructure; Residential road,"c(-3.1650155, -3.164944, -3.1647952, -3.1642395, -3.16408710765558, 55.9605178, 55.9604684, 55.9604114, 55.9602666, 55.9602126236148)"
166454564,Transport infrastructure; Residential road,"c(-3.16447819916513, -3.1644068, -3.1642621, -3.1641718106778, 55.9599361998658, 55.9599931, 55.9600918, 55.9601527554602)"
183699650,Transport infrastructure; Residential road,"c(-3.18334634483606, -3.1840165, -3.184652, 55.9596160433843, 55.9600062, 55.960399)"
262235314,Transport infrastructure; Residential road,"c(-3.1956694, -3.19572679458374, 55.9619381, 55.9618932054636)"
275828709,Transport infrastructure; Residential road,"c(-3.1650155, -3.1649624, -3.16495636963333, 55.9605178, 55.9605317, 55.96053331329)"
319581862,Transport infrastructure; Residential road,"c(-3.19932501292288, -3.1993297, -3.199336, -3.1993335, -3.1993323, -3.1993289, -3.1993202, -3.1993031, -3.1992204, -3.1991738, 55.9627398599759, 55.9628021, 55.9629253, 55.9630284, 55.963074, 55.9631153, 55.9631537, 55.9631964, 55.9633634, 55.963435)"
405656786,Transport infrastructure; Residential road,"c(-3.1989964, -3.1989151, -3.1988936, -3.198884, -3.1988798, -3.1988903, -3.1988866, -3.19886626953434, 55.963768, 55.9639555, 55.9640069, 55.9640402, 55.9640712, 55.9646372, 55.9648073, 55.9649556906942)"
405656787,Transport infrastructure; Residential road,"c(-3.19844511548705, -3.1983511, -3.1983075, -3.1982567, -3.1982285, 55.9657630341743, 55.9658653, 55.9659052, 55.9659469, 55.9659642)"
466377733,Transport infrastructure; Residential road,"c(-3.19449509855736, -3.1944746, -3.1944505, -3.1943859, 55.9613072330845, 55.9613296, 55.961355, 55.9614061)"
474193581,Transport infrastructure; Residential road,"c(-3.17833640475613, -3.1781476, -3.1780181, -3.1779201, -3.1778334, -3.177624, -3.1774131, -3.1772884, -3.177224, -3.1771397, -3.1768554, -3.176822, -3.17681454810982, 55.9699492691119, 55.9697992, 55.9696845, 55.9696365, 55.9695941, 55.9695095, 55.9694899, 55.9695114, 55.9695225, 55.9695452, 55.9694491, 55.9694426, 55.969443418889)"
474193582,Transport infrastructure; Residential road,"c(-3.1771397, -3.17713344931047, 55.9695452, 55.9695494185203)"
545862347,Transport infrastructure; Residential road,"c(-3.1781476, -3.17802870762435, 55.9697992, 55.9698469936032)"
4829035,Transport infrastructure; Secondary road,"c(-3.17947638253236, -3.1796684, -3.1799471, -3.1808684, -3.1808938, -3.1812925, -3.182002, -3.1820842, -3.1833633, -3.1835985, -3.1839143, -3.1843885, -3.1845021, -3.1846062, 55.9708613169204, 55.9708005, 55.9707112, 55.9703882, 55.9703793, 55.9702296, 55.9699533, 55.9699213, 55.9694144, 55.9693219, 55.9691934, 55.9690016, 55.9689722, 55.9689417)"
23544812,Transport infrastructure; Secondary road,"c(-3.1968557, -3.19687206020994, 55.9623884, 55.9623812136166)"
29260956,Transport infrastructure; Secondary road,"c(-3.1968557, -3.1970289, -3.197623, -3.1978042, -3.1979405, -3.1979913, -3.19801850221373, 55.9623884, 55.9624142, 55.9625038, 55.9625317, 55.9625482, 55.9625494, 55.9625488349689)"
87364490,Transport infrastructure; Secondary road,"c(-3.1916629, -3.1914387, -3.19133030167192, 55.9600341, 55.9599284, 55.9598582392698)"
87364508,Transport infrastructure; Secondary road,"c(-3.19157637055261, -3.1916629, 55.959918664837, 55.9600341)"
91342263,Transport infrastructure; Secondary road,"c(-3.16995469259755, -3.1699581, -3.1700263, 55.9573673275525, 55.9573721, 55.9574236)"
320565461,Transport infrastructure; Secondary road,"c(-3.17941567969882, -3.1784988, -3.178376, -3.1777824, -3.175641, -3.1755821, -3.1751935, 55.9577732976153, 55.957751, 55.9577483, 55.9577333, 55.9576752, 55.9576739, 55.9576655)"
